pag_pk,pag_fecha_planificada,pag_importe_planificado,pag_fecha_real,pag_importe_real,pag_confirmar,mon_pk,mon_nombre
12370,"2019-03-29 00:00:00",4036,"2019-04-30 00:00:00",4036,1,1,Pesos
12372,"2019-11-29 00:00:00",24215,"2019-04-30 00:00:00",24215,1,1,Pesos
12382,"2018-09-14 00:00:00",0,"2018-12-21 00:00:00",4036,1,1,Pesos
12383,"2018-09-30 00:00:00",0,"2018-12-21 00:00:00",8072,1,1,Pesos
12384,"2019-12-31 00:00:00",12108,"2019-04-30 00:00:00",12108,1,1,Pesos
12385,"2019-02-28 00:00:00",12108,"2019-04-30 00:00:00",12108,1,1,Pesos
12386,"2019-03-31 00:00:00",24215,"2019-04-30 00:00:00",24215,1,1,Pesos
12387,"2019-04-26 00:00:00",12108,"2019-04-30 00:00:00",12108,1,1,Pesos
5213,"2017-02-17 00:00:00",367,"2017-02-08 00:00:00",367,1,1,Pesos
5214,"2017-02-28 00:00:00",1500,"2017-03-30 00:00:00",609,1,1,Pesos
5216,"2018-02-28 00:00:00",1500,"2017-05-31 00:00:00",1272,1,1,Pesos
5217,"2017-05-31 00:00:00",1500,"2017-04-28 00:00:00",799,1,1,Pesos
5218,"2017-06-30 00:00:00",1500,"2017-06-29 00:00:00",737,1,1,Pesos
5219,"2017-07-31 00:00:00",1500,"2017-07-27 00:00:00",677,1,1,Pesos
5220,"2017-08-31 00:00:00",1500,"2017-08-31 00:00:00",834,1,1,Pesos
5221,"2017-09-29 00:00:00",1500,"2017-09-29 00:00:00",2425,1,1,Pesos
5222,"2017-10-31 00:00:00",1500,"2017-10-30 00:00:00",942,1,1,Pesos
5223,"2017-11-30 00:00:00",1500,"2017-11-24 00:00:00",1421,1,1,Pesos
5224,"2017-12-29 00:00:00",1500,"2017-12-26 00:00:00",898,1,1,Pesos
5225,"2017-02-17 00:00:00",674,"2017-03-30 00:00:00",674,1,1,Pesos
5226,"2017-05-31 00:00:00",500,"2017-04-20 00:00:00",625,1,1,Pesos
5227,"2017-12-29 00:00:00",1000,"2017-12-22 00:00:00",0,1,1,Pesos
8279,"2017-08-31 00:00:00",2110,"2017-08-31 00:00:00",2110,1,1,Pesos
8280,"2017-09-29 00:00:00",1000,"2017-09-29 00:00:00",0,1,1,Pesos
8899,"2017-10-30 00:00:00",939,"2017-10-30 00:00:00",939,1,1,Pesos
5185,"2018-01-31 00:00:00",13551,"2017-11-30 00:00:00",0,1,1,Pesos
5203,"2018-02-28 00:00:00",11102,"2017-11-30 00:00:00",0,1,1,Pesos
5204,"2018-03-30 00:00:00",15102,"2017-11-30 00:00:00",0,1,1,Pesos
5205,"2017-06-30 00:00:00",5551,"2017-08-31 00:00:00",720,1,1,Pesos
5207,"2017-08-31 00:00:00",5551,"2017-09-30 00:00:00",1439,1,1,Pesos
5209,"2017-10-31 00:00:00",1551,"2017-10-31 00:00:00",989,1,1,Pesos
5210,"2017-11-30 00:00:00",1551,"2017-11-30 00:00:00",1327,1,1,Pesos
5211,"2017-12-29 00:00:00",1551,"2017-12-31 00:00:00",1529,1,1,Pesos
7912,"2017-01-03 00:00:00",80168,"2017-01-03 00:00:00",80168,1,1,Pesos
7913,"2017-06-08 00:00:00",152565,"2017-06-08 00:00:00",152565,1,1,Pesos
7914,"2017-07-07 00:00:00",125967,"2017-07-07 00:00:00",125967,1,1,Pesos
7915,"2017-08-08 00:00:00",188652,"2017-08-08 00:00:00",188652,1,1,Pesos
5073,"2017-09-07 00:00:00",252863,"2017-09-07 00:00:00",26571,1,1,Pesos
5075,"2017-10-06 00:00:00",863548,"2017-10-06 00:00:00",863548,NULL,1,Pesos
5076,"2017-11-08 00:00:00",438417,"2017-11-08 00:00:00",438417,NULL,1,Pesos
6806,"2017-12-06 00:00:00",424255,"2017-12-04 00:00:00",424255,0,1,Pesos
5087,"2017-02-08 00:00:00",161430,"2017-02-08 00:00:00",161430,1,1,Pesos
5088,"2017-03-08 00:00:00",161430,"2017-03-08 00:00:00",161430,1,1,Pesos
5089,"2017-04-08 00:00:00",161430,"2017-04-08 00:00:00",161430,1,1,Pesos
5098,"2017-12-31 00:00:00",11759580,"2017-12-30 00:00:00",0,1,1,Pesos
5099,"2017-12-06 00:00:00",5039820,"2017-12-05 00:00:00",1863430,1,1,Pesos
5164,"2016-12-30 00:00:00",2211389,"2016-12-30 00:00:00",2186279,1,1,Pesos
5165,"2015-12-31 00:00:00",609805,"2015-12-31 00:00:00",609805,1,1,Pesos
5168,"2017-12-29 00:00:00",156531,"2017-05-31 00:00:00",156531,1,1,Pesos
5171,"2017-03-31 00:00:00",96624,"2017-03-31 00:00:00",96624,1,1,Pesos
5172,"2017-06-30 00:00:00",96624,"2017-06-30 00:00:00",96624,1,1,Pesos
5173,"2017-09-29 00:00:00",96624,"2017-09-29 00:00:00",96624,1,1,Pesos
5179,"2017-12-29 00:00:00",96624,"2017-12-20 00:00:00",96624,1,1,Pesos
5181,"2016-12-30 00:00:00",234045,"2016-12-30 00:00:00",197542,1,1,Pesos
5182,"2015-12-31 00:00:00",235118,"2015-12-31 00:00:00",235118,1,1,Pesos
5188,"2017-09-29 00:00:00",208708,"2017-04-05 00:00:00",208708,1,1,Pesos
6260,"2017-03-09 00:00:00",1748692,"2017-03-09 00:00:00",1615124,1,1,Pesos
6417,"2017-11-30 00:00:00",-2927,"2017-11-28 00:00:00",20371,1,1,Pesos
6831,"2017-05-11 00:00:00",32208,"2017-05-11 00:00:00",32208,1,1,Pesos
6832,"2017-05-11 00:00:00",2147,"2017-05-11 00:00:00",2147,1,1,Pesos
6833,"2017-05-11 00:00:00",38220,"2017-05-11 00:00:00",38220,1,1,Pesos
7035,"2017-04-06 00:00:00",70858,"2017-04-06 00:00:00",70858,1,1,Pesos
7036,"2017-04-03 00:00:00",28665,"2017-04-03 00:00:00",28665,1,1,Pesos
5167,"2017-12-29 00:00:00",14401,"2017-04-30 00:00:00",60107,1,1,Pesos
5169,"2016-12-30 00:00:00",102440,"2016-12-30 00:00:00",102440,1,1,Pesos
5170,"2015-12-31 00:00:00",47213,"2015-12-31 00:00:00",47213,1,1,Pesos
5175,"2017-03-31 00:00:00",8889,"2017-03-31 00:00:00",27827,1,1,Pesos
